,year,county_code,CO,NO2,Ozone,PM10,PM2_5,SO2,census_unique_no,population,county_name
503,2013,109,0,0,44.51923077,0,0,0,543,53997,Tuolumne
504,2014,109,0,0,52.64071856,0,0,0,544,53851,Tuolumne
505,2015,109,0,0,46.8489011,0,0,0,545,53615,Tuolumne
506,2016,109,0,0,56.71751412,0,0,0,546,53770,Tuolumne
507,2017,109,0,0,53.29281768,0,0,0,547,53976,Tuolumne
508,2018,109,0,0,48.87931034,0,0,0,548,54387,Tuolumne
509,2019,109,0,0,45.84916201,0,0,0,549,54478,Tuolumne
510,2010,111,0,40.90909091,55.58695652,0,55.28125,0,550,825097,Ventura
511,2011,111,0,51.66666667,55.58858859,0,54.23076923,0,551,830099,Ventura
512,2012,111,0,44.75,63.5951417,73,54.60526316,0,552,833516,Ventura
513,2013,111,0,35.66666667,54.62393162,76,54.99166667,0,553,838136,Ventura
514,2014,111,0,34,61.20675105,56.75,54.09756098,0,554,842297,Ventura
515,2015,111,0,36.75,58.18584071,53,53.77862595,0,555,845802,Ventura
516,2016,111,0,0,55.36206897,63.57142857,54.03149606,0,556,847323,Ventura
517,2017,111,0,0,59.964,77.5,76.54205607,0,557,849044,Ventura
518,2018,111,0,34,58.00469484,67.33333333,56.02173913,0,558,848142,Ventura
519,2019,111,0,33,52.31338028,68.54545455,52.18461538,0,559,846006,Ventura
520,2010,113,0,25.66666667,38.66181818,43.25,51.02702703,0,560,201073,Yolo
521,2011,113,0,26.4,49.2195122,0,56.64795918,0,561,201954,Yolo
522,2012,113,0,0,47.9609375,0,50.36363636,0,562,204576,Yolo
523,2013,113,0,29,40.36462094,52,52.51219512,0,563,206292,Yolo
524,2014,113,0,27,41.19008264,41,46.87394958,0,564,208398,Yolo
525,2015,113,0,20,45.2173913,0,55.33082707,0,565,212037,Yolo
526,2016,113,0,28,41.50177936,58,47.53012048,0,566,215627,Yolo
527,2017,113,0,19,43.82156134,61,54.91489362,0,567,218477,Yolo
528,2018,113,0,0,42.52208835,43.5,64.13157895,0,568,220118,Yolo
529,2019,113,0,18,41.98924731,50.66666667,50.25609756,0,569,220500,Yolo
530,2011,3,0,0,0,0,44.71428571,0,11,1093,Alpine
531,2012,3,0,0,0,0,40.20833333,0,12,1110,Alpine
532,2013,3,0,0,0,0,63.4375,0,13,1128,Alpine
533,2014,3,0,0,0,0,24.58,0,14,1080,Alpine
534,2015,3,0,0,0,0,107.2258065,0,15,1077,Alpine
535,2016,3,0,0,0,0,26.20833333,0,16,1047,Alpine
